番号,都道府県,地区名称等,種別,選定年月日,選定基準,面積（ha）,pdfurl
73,奈良,宇陀市松山,商家町,2006-07-05,（一）,17.0,https://www.bunka.go.jp/seisaku/bunkazai/shokai/hozonchiku/pdf/93738601_73.pdf
74,和歌山,湯浅町湯浅,醸造町,2006-12-19,（二）,6.3,https://www.bunka.go.jp/seisaku/bunkazai/shokai/hozonchiku/pdf/93738601_74.pdf
75,鳥取,倉吉市打吹玉川,商家町,1998-12-25,（一）,9.2,https://www.bunka.go.jp/seisaku/bunkazai/shokai/hozonchiku/pdf/93738601_75.pdf
76,鳥取,若桜町若桜,商家町,2021-08-02,（三）,9.5,https://www.bunka.go.jp/seisaku/bunkazai/shokai/hozonchiku/pdf/93738601_76.pdf
77,鳥取,大山町所子,農村集落,2013-12-27,（三）,25.8,https://www.bunka.go.jp/seisaku/bunkazai/shokai/hozonchiku/pdf/93738601_77.pdf
78,島根,大田市大森銀山,鉱山町,1987-12-05,（三）,162.7,https://www.bunka.go.jp/seisaku/bunkazai/shokai/hozonchiku/pdf/93738601_78.pdf
79,島根,大田市温泉津,港町・温泉町,2004-07-06,（二）,36.6,https://www.bunka.go.jp/seisaku/bunkazai/shokai/hozonchiku/pdf/93738601_79.pdf
80,島根,津和野町津和野,武家町・商家町,2013-08-07,（二）,11.1,https://www.bunka.go.jp/seisaku/bunkazai/shokai/hozonchiku/pdf/93738601_80.pdf
81,岡山,倉敷市倉敷川畔,商家町,1979-05-21,（一）,15.0,https://www.bunka.go.jp/seisaku/bunkazai/shokai/hozonchiku/pdf/93738601_81.pdf
82,岡山,津山市城東,商家町,2013-08-07,（一）,8.1,https://www.bunka.go.jp/seisaku/bunkazai/shokai/hozonchiku/pdf/93738601_82.pdf
83,岡山,津山市城西,寺町・商家町,2020-12-23,（二）,12.0,https://www.bunka.go.jp/seisaku/bunkazai/shokai/hozonchiku/pdf/93738601_83.pdf
84,岡山,高梁市吹屋,鉱山町,1977-05-18,（三）,6.4,https://www.bunka.go.jp/seisaku/bunkazai/shokai/hozonchiku/pdf/93738601_84.pdf
85,岡山,矢掛町矢掛宿,宿場町,2020-12-23,（二）,11.5,https://www.bunka.go.jp/seisaku/bunkazai/shokai/hozonchiku/pdf/93738601_85.pdf
86,広島,呉市豊町御手洗,港町,1994-07-04,（二）,6.9,https://www.bunka.go.jp/seisaku/bunkazai/shokai/hozonchiku/pdf/93738601_86.pdf
87,広島,竹原市竹原地区,製塩町,1982-12-16,（一）,5.0,https://www.bunka.go.jp/seisaku/bunkazai/shokai/hozonchiku/pdf/93738601_87.pdf
88,広島,福山市鞆町,港町,2017-11-28,（二）,8.6,https://www.bunka.go.jp/seisaku/bunkazai/shokai/hozonchiku/pdf/93738601_88.pdf
89,広島,廿日市市宮島町,門前町,2021-08-02,（二）,16.8,https://www.bunka.go.jp/seisaku/bunkazai/shokai/hozonchiku/pdf/93738601_89.pdf
